"Device Name","KD2",,,
"Device Model","DROP_2",,,
"Serial Number","2061168",,,
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Stress Index","Dew Point"
"YYYY-MM-DD HH:MM:SS","°F","%","°F","°F"
"2018-07-10 05:45:00","71.0","55.8","70.5","54.4"
"2018-07-10 05:50:00","71.0","55.8","70.5","54.4"
"2018-07-10 05:55:00","70.9","55.8","70.5","54.4"
"2018-07-10 06:00:00","70.9","55.9","70.5","54.4"
"2018-07-10 06:05:00","70.9","55.9","70.5","54.4"
"2018-07-10 06:10:00","70.8","55.9","70.5","54.3"
"2018-07-10 06:15:00","70.8","55.9","70.5","54.3"
"2018-07-10 06:20:00","70.8","55.9","70.5","54.3"
"2018-07-10 06:25:00","70.8","55.9","70.5","54.3"
"2018-07-10 06:30:00","70.7","56.0","70.5","54.2"
"2018-07-10 06:35:00","70.7","56.0","70.5","54.3"
"2018-07-10 06:40:00","70.7","56.0","70.5","54.2"
"2018-07-10 06:45:00","70.7","56.0","70.2","54.2"
"2018-07-10 06:50:00","70.6","56.0","70.2","54.2"
"2018-07-10 06:55:00","70.6","56.0","70.2","54.2"
"2018-07-10 07:00:00","70.6","56.0","70.2","54.2"
"2018-07-10 07:05:00","70.6","56.0","70.2","54.1"
"2018-07-10 07:10:00","70.5","56.0","70.2","54.1"
"2018-07-10 07:15:00","70.5","56.1","70.0","54.1"
"2018-07-10 07:20:00","70.5","56.1","70.0","54.1"
"2018-07-10 07:25:00","70.4","56.1","70.0","54.0"
"2018-07-10 07:30:00","70.4","56.1","70.0","54.0"
"2018-07-10 07:35:00","70.4","56.1","70.0","54.0"
"2018-07-10 07:40:00","70.4","56.1","70.0","54.0"
"2018-07-10 07:45:00","70.3","56.1","69.6","54.0"
"2018-07-10 07:50:00","70.3","56.1","69.6","54.0"
"2018-07-10 07:55:00","70.3","56.2","69.6","53.9"
"2018-07-10 08:00:00","70.2","56.2","69.6","53.9"
"2018-07-10 08:05:00","70.2","56.2","69.6","53.9"
"2018-07-10 08:10:00","70.2","56.2","69.6","53.9"
"2018-07-10 08:15:00","70.2","56.2","69.6","53.9"
"2018-07-10 08:20:00","70.2","56.2","69.6","53.9"
"2018-07-10 08:25:00","70.2","56.3","69.6","53.9"
"2018-07-10 08:30:00","70.1","56.2","69.4","53.8"
"2018-07-10 08:35:00","70.1","56.1","69.4","53.7"
"2018-07-10 08:40:00","69.9","56.1","69.1","53.6"
"2018-07-10 08:45:00","69.9","56.2","69.1","53.5"
"2018-07-10 08:50:00","69.8","56.2","69.1","53.5"
"2018-07-10 08:55:00","69.8","56.2","68.9","53.5"
"2018-07-10 09:00:00","69.7","56.2","68.9","53.4"
"2018-07-10 09:05:00","69.7","56.2","68.9","53.4"
"2018-07-10 09:10:00","69.6","56.2","68.9","53.3"
"2018-07-10 09:15:00","69.6","56.3","68.5","53.3"
"2018-07-10 09:20:00","69.5","56.3","68.5","53.3"
"2018-07-10 09:25:00","69.5","56.3","68.5","53.3"
"2018-07-10 09:30:00","69.5","56.3","68.5","53.3"
"2018-07-10 09:35:00","69.5","56.2","68.5","53.2"
"2018-07-10 09:40:00","69.5","56.3","68.5","53.3"
"2018-07-10 09:45:00","69.5","56.3","68.5","53.3"
"2018-07-10 09:50:00","69.5","56.2","68.5","53.3"
"2018-07-10 09:55:00","69.6","56.2","68.5","53.3"
"2018-07-10 10:00:00","69.6","56.2","68.5","53.3"
"2018-07-10 10:05:00","69.6","56.2","68.5","53.3"
"2018-07-10 10:10:00","69.6","56.2","68.5","53.3"
"2018-07-10 10:15:00","69.7","56.2","68.9","53.4"
"2018-07-10 10:20:00","69.7","56.2","68.9","53.4"
"2018-07-10 10:25:00","69.8","56.2","68.9","53.5"
"2018-07-10 10:30:00","69.8","56.2","69.1","53.5"
"2018-07-10 10:35:00","69.8","56.1","69.1","53.5"
"2018-07-10 10:40:00","69.9","56.1","69.1","53.5"
"2018-07-10 10:45:00","69.9","56.1","69.1","53.6"
"2018-07-10 10:50:00","70.0","56.1","69.4","53.6"
"2018-07-10 10:55:00","70.0","56.1","69.4","53.7"
"2018-07-10 11:00:00","70.1","56.1","69.4","53.7"
"2018-07-10 11:05:00","70.1","56.1","69.4","53.7"
"2018-07-10 11:10:00","70.1","56.1","69.4","53.7"
"2018-07-10 11:15:00","70.1","56.0","69.4","53.7"
"2018-07-10 11:20:00","70.2","56.0","69.6","53.8"
"2018-07-10 11:25:00","70.2","56.0","69.6","53.8"
"2018-07-10 11:30:00","70.4","56.1","70.0","54.0"
"2018-07-10 11:35:00","70.5","56.0","70.0","54.1"
"2018-07-10 11:40:00","70.5","56.0","70.2","54.1"
"2018-07-10 11:45:00","70.6","56.0","70.2","54.1"
"2018-07-10 11:50:00","70.6","56.0","70.2","54.1"
"2018-07-10 11:55:00","70.6","56.0","70.2","54.2"
"2018-07-10 12:00:00","70.7","56.0","70.2","54.2"
"2018-07-10 12:05:00","70.6","56.0","70.2","54.2"
"2018-07-10 12:10:00","70.6","56.0","70.2","54.2"
"2018-07-10 12:15:00","70.6","56.0","70.2","54.2"
"2018-07-10 12:20:00","70.6","56.1","70.2","54.2"
"2018-07-10 12:25:00","70.6","56.1","70.2","54.2"
"2018-07-10 12:30:00","70.6","56.1","70.2","54.2"
"2018-07-10 12:35:00","70.6","56.2","70.2","54.2"
"2018-07-10 12:40:00","70.5","56.2","70.2","54.2"
"2018-07-10 12:45:00","70.5","56.2","70.2","54.2"
"2018-07-10 12:50:00","70.5","56.2","70.2","54.2"
"2018-07-10 12:55:00","70.5","56.2","70.2","54.2"
"2018-07-10 13:00:00","70.5","56.3","70.2","54.2"
"2018-07-10 13:05:00","70.6","56.3","70.2","54.3"
"2018-07-10 13:10:00","70.6","56.3","70.2","54.3"
"2018-07-10 13:15:00","70.6","56.3","70.2","54.3"
"2018-07-10 13:20:00","70.7","56.3","70.2","54.4"
"2018-07-10 13:25:00","70.7","56.3","70.2","54.4"
"2018-07-10 13:30:00","70.7","56.3","70.2","54.4"
"2018-07-10 13:35:00","70.8","56.3","70.5","54.5"
"2018-07-10 13:40:00","70.8","56.3","70.5","54.5"
"2018-07-10 13:45:00","70.8","56.4","70.5","54.6"
"2018-07-10 13:50:00","70.9","56.4","70.5","54.6"
"2018-07-10 13:55:00","70.9","56.4","70.5","54.6"
"2018-07-10 14:00:00","71.0","56.4","70.5","54.7"
"2018-07-10 14:05:00","71.0","56.4","70.5","54.7"
"2018-07-10 14:10:00","71.0","57.0","70.5","55.0"
"2018-07-10 14:15:00","70.8","56.3","70.5","54.5"
"2018-07-10 14:20:00","70.6","56.5","70.2","54.4"
"2018-07-10 14:25:00","70.6","56.6","70.2","54.4"
"2018-07-10 14:30:00","70.4","56.8","70.0","54.4"
"2018-07-10 14:35:00","70.4","56.9","70.0","54.4"
"2018-07-10 14:40:00","70.4","57.0","70.0","54.5"
"2018-07-10 14:45:00","70.4","57.0","70.0","54.5"
"2018-07-10 14:50:00","70.4","57.0","70.0","54.5"
"2018-07-10 14:55:00","70.3","57.1","69.6","54.4"
"2018-07-10 15:00:00","70.3","57.0","69.6","54.4"
"2018-07-10 15:05:00","70.3","57.2","69.6","54.5"
"2018-07-10 15:10:00","70.3","57.2","69.6","54.5"
"2018-07-10 15:15:00","70.3","57.2","69.6","54.5"
"2018-07-10 15:20:00","70.4","57.2","70.0","54.5"
"2018-07-10 15:25:00","70.3","57.2","69.6","54.5"
"2018-07-10 15:30:00","70.4","57.2","70.0","54.5"
"2018-07-10 15:35:00","70.4","57.2","70.0","54.5"
"2018-07-10 15:40:00","70.4","57.2","70.0","54.5"
"2018-07-10 15:45:00","70.4","57.2","70.0","54.6"
"2018-07-10 15:50:00","70.4","57.2","70.0","54.6"
"2018-07-10 15:55:00","70.4","57.2","70.0","54.6"
"2018-07-10 16:00:00","70.4","57.1","70.0","54.5"
"2018-07-10 16:05:00","70.4","57.1","70.0","54.5"
"2018-07-10 16:10:00","70.4","57.0","70.0","54.5"
"2018-07-10 16:15:00","70.4","57.0","70.0","54.5"
"2018-07-10 16:20:00","70.4","57.0","70.0","54.5"
"2018-07-10 16:25:00","70.4","56.8","70.0","54.3"
"2018-07-10 16:30:00","70.3","56.0","69.6","53.9"
